id,pergunta,opcao_1,opcao_2,opcao_3,resposta_certa,justificativa
id02,Qual corrente presente da sigla LGBTQQICAAPF2K+ foi citada pela loirinha em seu primeiro álbum?,Gays,Lésbicas,Queer,opcao-1,"A primeira versão de de 'Picture to Burn' tinha na letra ""That's fine, I'll tell mine you're gay"", posteriormente alterada pela loira"
id05,Qual o signo da Taylor?,Sagitário,Escorpião,Touro,opcao-1,Taylor é a maoior saginariana levemente vingativa que conhecemos
id07,Taylor é fascinada por coisas brilhantes. Em qual música ela conta isso?,Paper Rings,Bejeweled,Delicate,opcao-1,"Na música 'Paper Rings', a loira afirma que gosta de coisas brilhantes, mas que casaria com um tal dito cujo com anéis de papel."
id09,Qual universidade deu diploma honorário para Taylor?,Universidade de Nova York,Universidade Harvard,Universidade de Chicago,opcao-1,"Taylor foi honrada em 2022 como Doutora em Belas Artes pela Universidade de Nova York (NYU). O diploma é honorário, ou seja, oferecido para pessoas que se destacam em sua área de atuação."
id11,Qual a série preferida da Taylor?,Friends,The Office,How I Met Your Mother,opcao-1,"Taylor é uma grande fã da série norteamericana 'Friends'. O programa, inclusive, já inspirou a loira a criar músicas"
id13,Segundo o fandom de swifters qual foi o melhor namorado da Taylor? (Leia-se: o único bom e útil),Taylor Lautner,Harry Styles,Joe Alwyn,opcao-1,"Com certeza, o maior e melhor namorado da loira foi o ator Taylor Lautner. Ponto final."
id14,O clipe de 'Bejeweled' faz referência à história de uma princesa da Disney. Qual é?,Cinderela,Ariel,Bela Adormecida,opcao-1,"O clipe de 'Bejeweled' faz referência à história da Cinderela, interpretada pela própria Taylor. "
id15,Taylor participou como atriz de musicais além de ter feito músicas para eles. Quais dos filmes nesta lista a loirinha não participou e nem escreveu músicas?,Cats,Hannah Montana: O Filme,High School Música 2,opcao-3,Taylor escreveu músicas e participou de 'Hannah Montana: O Filme' (2009) e de 'Cats' (2019)
id01,Que cor é o amor segundo Taylor Swift?,Vermelho (Red),Ouro (Golden),Marrom (Marron),opcao-2,"Na música 'Daylight', Taylor afirma que o amor é dourado como a luz do dia. Ela afirma: ""I once believed love would be (burning red) but it's golden"""
id04,Qual o número preferido da Taylor?,4,13,7,opcao-2,"O número preferido da Taylor é o 13. Durante a turnê de Fearless, a loira desenhava 13 na parte posterior da mão"
id06,Quem foi o cara que terminou com a Taylor em uma ligação de 27 segundos?,Jake Gyllenhaal,Joe Jonas,John Mayer,opcao-2,"No fatídico ano de 2008, o cantor e ator Joe Jonas terminou com Taylor em uma ligação de 27 segundos. "
id08,Taylor já atuou em filmes. Em qual desses ela não apareceu?,Hannah Montana: O Filme,Idas e Vindas do Amor,Simplesmente Amor,opcao-3,Taylor participou do filme 'Hannah Montana: O Filme' (2009) e do 'Idas e Vindas do Amor' (2010)
id10,Quantos albúns a loirinha tem?,9,10,11,opcao-2,"Taylor tem 10 álbuns de estúdio: 'Taylor Swift', 'Fearless', 'Speak Now', 'Red', '1989', 'Reputation', 'Lover', 'Folkore', 'Evermore' e 'Midnights'"
id03,Quantos móveis tem a Lover House?,7,8,9,opcao-3,"A Lover House possui 9 cômodos, que representavam cada álbum da loira na época"
id12,"Durante as gravações do clipe 'Ours' , Taylor aproveitou o cenário para gravar uma paródia de uma série de comédia. Qual série foi essa?",How I Met Your Mother,Friends,The Office,opcao-3,"Nsa gravações do videoclipe de 'Ours', Taylor gravou também um vídeo imitando a série 'The Office'"
